,duration,most_time_x,most_time_y,second_time_x,second_time_y,live,work,first_name,last_name,age,gender
87,5,414,320,419,298,No,Yes,Anonymous,Anonymous,35-44,Male
88,6,364,498,418,298,No,Yes,Anonymous,Anonymous,25-34,Female
89,6,462,391,432,335,No,No,Anonymous,Anonymous,35-44,Female
90,5,443,284,173,322,No,Yes,Anonymous,Anonymous,25-34,Female
91,7,426,314,570,472,No,Yes,Anonymous,Anonymous,35-44,Male
92,3,389,283,214,320,Yes,Yes,Anonymous,Anonymous,25-34,Male
93,10,NA,NA,466,452,No,Yes,Anonymous,Anonymous,25-34,Female
94,10,416,336,194,323,No,Yes,Anonymous,Anonymous,18-24,Female
95,1,404,344,415,269,No,Yes,Anonymous,Anonymous,NA,NA
96,9,422,312,413,369,Yes,No,Anonymous,Anonymous,35-44,Male
97,9,418,310,419,369,Yes,No,Anonymous,Anonymous,NA,NA
98,10,364,370,682,430,No,Yes,Anonymous,Anonymous,NA,NA
99,6,NA,NA,676,423,No,Yes,Anonymous,Anonymous,NA,Female
100,9,241,119,141,272,Yes,Yes,Anonymous,Anonymous,NA,NA
